,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
19,7/20/16,57213,128799,182792,1601,158
20,7/21/16,54832,128476,182950,1553,161
21,7/22/16,49185,105666,183072,1701,176
22,7/23/16,37522,101810,183177,2932,138
23,7/24/16,39634,113680,183332,2966,114
24,7/25/16,35376,85145,183473,920,150
25,7/26/16,52904,108783,183595,1385,168
26,7/27/16,54148,115744,183731,1403,132
27,7/28/16,50134,98694,183846,1292,123
28,7/29/16,37693,81355,183937,1441,162
29,7/30/16,27780,72197,184039,2242,112
30,7/31/16,27651,70377,184157,1641,82
31,8/1/16,49395,101134,184325,1359,166
32,8/2/16,56744,116187,184558,1636,181
33,8/3/16,56992,118370,184766,1827,143
34,8/4/16,56587,118563,184960,1778,148
35,8/5/16,53286,116534,185186,2012,185
36,8/6/16,44209,125188,185436,4159,153
37,8/7/16,43631,116183,185682,3856,149
38,8/8/16,52251,115847,185956,1753,184
39,8/9/16,56101,114892,186223,1701,165
40,8/10/16,50100,101761,186401,1158,109
41,8/11/16,47420,93639,186596,1238,152
42,8/12/16,44729,90685,186771,1467,144
43,8/13/16,38903,100035,186990,3333,125
44,8/14/16,32961,74055,187173,2154,91
45,8/15/16,49056,107305,187394,1417,175
46,8/16/16,50411,103010,187601,1295,164
47,8/17/16,53983,113583,187820,1430,138
48,8/18/16,53209,115041,187998,1459,163
49,8/19/16,51658,110723,188186,1862,175
50,8/20/16,45808,138864,188499,4385,167
51,8/21/16,35041,96941,188725,2664,127
52,8/22/16,54201,118995,188996,1679,192
53,8/23/16,58665,127012,189297,1675,170
54,8/24/16,58134,127066,189577,1597,160
55,8/25/16,53480,111985,189856,1436,169
56,8/26/16,52026,112005,190156,1878,197
57,8/27/16,45673,120578,190480,3767,173
58,8/28/16,44639,121056,190844,3560,159
59,8/29/16,53279,115101,191255,1530,174
60,8/30/16,57392,121098,191713,1510,160
61,8/31/16,57200,118815,192380,1320,136
62,9/1/16,38174,77415,192592,714,104
63,9/2/16,52999,126790,192814,2314,252
64,9/3/16,41629,117476,193055,4009,268
65,9/4/16,46020,140347,193326,5467,185
66,9/5/16,45431,118022,193677,3778,190
67,9/6/16,52432,108743,194065,1018,178
68,9/7/16,60278,130391,194396,1328,199
69,9/8/16,61551,130259,194674,1511,179
70,9/9/16,56804,118213,194908,1582,178
71,9/10/16,48454,127252,195189,3549,229
72,9/11/16,52238,136353,195499,3572,216
73,9/12/16,61083,127447,195832,1620,225
74,9/13/16,64818,135366,196122,1462,198
75,9/14/16,58928,121511,196388,1369,157
76,9/15/16,67312,140436,196637,1612,240
77,9/16/16,65257,145454,196886,2047,225
78,9/17/16,59199,154037,197163,5117,210
79,9/18/16,51685,131788,197449,3191,159
80,9/19/16,34205,67180,197620,555,101
81,9/20/16,64881,135085,197880,1454,200
82,9/21/16,65453,142356,198118,1566,182
83,9/22/16,67762,146370,198363,1681,207
84,9/23/16,65499,142458,198577,2053,248
85,9/24/16,53258,137355,198827,3990,212
86,9/25/16,53563,143312,199198,3871,169
87,9/26/16,61120,128011,199480,1375,170
88,9/27/16,61334,122347,199739,1175,150
89,9/28/16,59456,120072,199989,931,107
90,9/29/16,55550,104364,200201,808,131
91,9/30/16,21368,45194,200447,175,20
0,10/1/2016,39809,91771,200544,2017,133
1,10/2/2016,41018,100425,200664,2147,119
2,10/3/2016,56369,116682,200829,1514,183
3,10/4/2016,60196,123551,200954,1035,144
4,10/5/2016,65031,126942,201115,1240,160
5,10/6/2016,67580,137567,201234,1580,205
6,10/7/2016,65881,142612,201369,2398,222
7,10/8/2016,34624,86818,201485,2002,160
8,10/9/2016,21687,46334,201539,713,56
9,10/10/2016,52248,107487,201664,2013,163
10,10/11/2016,58754,113228,201761,1172,142
11,10/12/2016,57497,119851,201880,1170,153
12,10/13/2016,61209,117523,201984,1064,168
13,10/14/2016,60561,123000,202090,1592,183
14,10/15/2016,51991,138233,202215,3904,207
15,10/16/2016,48866,126550,202343,3195,172
16,10/17/2016,62649,132131,202502,1447,236
17,10/18/2016,68224,143635,202653,1656,194
18,10/19/2016,69758,145347,202772,1902,164
19,10/20/2016,63668,131686,202893,1377,198
20,10/21/2016,40865,80787,202960,724,102
21,10/22/2016,25301,55557,203019,658,45
22,10/23/2016,41462,99878,203137,2616,134
23,10/24/2016,55254,106893,203269,1145,146
24,10/25/2016,52667,96848,203349,716,102
25,10/26/2016,52466,103870,203410,809,85
26,10/27/2016,21054,39660,203449,101,23
27,10/28/2016,46233,89857,203492,766,111
28,10/29/2016,42513,103274,203579,2615,153
29,10/30/2016,37760,107572,203697,2971,114
30,10/31/2016,50071,107875,203787,1090,123
31,11/1/2016,55944,110056,203888,868,105
32,11/2/2016,62133,133258,203993,1242,141
33,11/3/2016,59632,124673,204108,943,174
34,11/4/2016,57867,126507,204195,1538,207
35,11/5/2016,48687,128639,204301,3416,177
36,11/6/2016,39413,104186,204428,2293,97
37,11/7/2016,49883,106484,204520,972,119
38,11/8/2016,56589,123718,204616,1137,107
39,11/9/2016,38050,75883,204660,257,40
40,11/10/2016,50863,111472,204728,813,139
41,11/11/2016,45826,105021,204802,1248,165
42,11/12/2016,34664,86968,204865,1916,114
43,11/13/2016,36806,95679,204958,2076,95
44,11/14/2016,48810,113590,205034,728,97
45,11/15/2016,22884,48797,205073,105,16
46,11/16/2016,53328,107831,205170,703,113
47,11/17/2016,53889,109418,205231,711,106
48,11/18/2016,53370,109802,205286,1051,125
49,11/19/2016,41208,98021,205376,2272,87
50,11/20/2016,20616,45772,205407,350,34
51,11/21/2016,32964,69754,205449,148,38
52,11/22/2016,36723,72592,205479,290,35
53,11/23/2016,34462,73005,205501,481,56
54,11/24/2016,12122,42343,205518,641,73
55,11/25/2016,20980,62444,205545,1011,67
56,11/26/2016,23810,65654,205572,1356,44
57,11/27/2016,24076,74381,205607,945,31
58,11/28/2016,42086,83300,205667,485,42
59,11/29/2016,14584,30989,205696,48,9
60,11/30/2016,24434,52424,205729,117,10
61,12/1/2016,43233,90239,205762,389,58
62,12/2/2016,42358,89092,205794,440,52
63,12/3/2016,29853,70853,205824,854,58
64,12/4/2016,27454,71729,205857,930,28
65,12/5/2016,35927,80214,205897,278,38
66,12/6/2016,33325,67187,205939,228,26
67,12/7/2016,38010,76605,205967,270,18
68,12/8/2016,39621,72219,205998,235,23
69,12/9/2016,33540,63950,206021,214,31
70,12/10/2016,22379,52716,206033,490,20
71,12/11/2016,17798,41740,206049,287,6
72,12/12/2016,29035,58701,206066,175,14
73,12/13/2016,39023,68858,206090,299,21
74,12/14/2016,37799,71798,206130,257,16
75,12/15/2016,25002,45840,206145,80,13
76,12/16/16,24484,48288,206171,139,11
77,12/17/16,6993,22363,206176,36,7
78,12/18/16,16295,38459,206200,168,14
79,12/19/16,25648,50405,206225,119,12
80,12/20/16,27677,50408,206250,202,22
81,12/21/16,30611,55746,206270,244,20
82,12/22/16,30874,56441,206293,302,18
83,12/23/16,26335,53318,206320,399,27
84,12/24/16,8014,28033,206334,147,10
85,12/25/16,9919,38209,206369,1052,43
86,12/26/16,10774,32446,206400,315,27
87,12/27/16,25946,61379,206450,960,68
88,12/28/16,23596,52937,206476,619,38
89,12/29/16,13202,29631,206503,104,8
90,12/30/16,21366,45743,206543,641,49
91,12/31/16,15925,46810,206585,798,33
0,1/1/17,16009,50761,206624,1237,33
1,1/2/17,8921,21545,206675,142,15
2,1/3/17,14198,25879,206728,42,15
3,1/4/17,34039,69966,206778,475,29
4,1/5/17,28393,52446,206845,214,17
5,1/6/17,24177,48964,206879,157,17
6,1/7/17,4425,23556,206892,21,4
7,1/8/17,6417,22756,206907,27,2
8,1/9/17,15856,35209,206933,30,2
9,1/10/17,23232,46216,206955,67,12
10,1/11/17,32419,63099,206981,208,37
11,1/12/17,39783,84763,207021,479,30
12,1/13/17,33611,75847,207059,373,43
13,1/14/17,13819,43090,207087,252,33
14,1/15/17,17384,50738,207120,476,19
15,1/16/17,24110,51664,207163,448,30
16,1/17/17,18646,40697,207198,63,15
17,1/18/17,30857,57978,207224,146,17
18,1/19/17,36561,72077,207262,391,27
19,1/20/17,26752,56479,207288,184,19
20,1/21/17,26610,64662,207336,957,31
21,1/22/17,20523,49368,207368,520,25
22,1/23/17,15822,37687,207399,54,20
23,1/24/17,13171,35619,207414,28,5
24,1/25/17,36931,71418,207453,301,29
25,1/26/17,33002,63750,207501,223,28
26,1/27/17,32394,70189,207540,231,23
27,1/28/17,21302,53955,207567,402,25
28,1/29/17,22527,62854,207620,585,26
29,1/30/17,29616,59975,207673,163,32
30,1/31/17,25169,48684,207706,62,19
31,2/1/17,35221,77639,207749,194,22
32,2/2/17,34517,70727,207793,216,27
33,2/3/17,29632,64701,207825,181,32
34,2/4/17,19204,45120,207861,413,14
35,2/5/17,20059,50532,207890,337,19
36,2/6/17,33415,72513,207930,305,49
37,2/7/17,23053,57760,207962,54,17
38,2/8/17,40428,90430,208011,483,32
39,2/9/17,0,0,208018,0,0
40,2/10/17,1997,8344,208030,15,1
41,2/11/17,8959,26272,208037,170,13
42,2/12/17,5801,26468,208054,26,5
43,2/13/17,23857,58710,208076,72,18
44,2/14/17,29668,78530,208099,154,16
45,2/15/17,32052,72383,208137,170,30
46,2/16/17,29120,63551,208163,104,16
47,2/17/17,28735,67530,208200,247,37
48,2/18/17,30571,99126,208258,2078,114
49,2/19/17,36963,125166,208347,3746,122
50,2/20/17,32292,91412,208436,1512,75
51,2/21/17,32643,84767,208516,308,48
52,2/22/17,38119,90651,208594,439,36
53,2/23/17,42434,98554,208658,828,88
54,2/24/17,47031,117155,208767,1534,119
55,2/25/17,33345,104309,208886,2035,77
56,2/26/17,24713,75196,208966,849,33
57,2/27/17,35984,80194,209035,388,42
58,2/28/17,41835,92642,209119,504,60
59,3/1/17,40592,85944,209229,393,51
60,3/2/17,35739,73839,209310,320,44
61,3/3/17,31105,68702,209370,292,39
62,3/4/17,15646,43108,209404,252,14
63,3/5/17,15919,50924,209451,312,22
64,3/6/17,32467,72776,209536,321,39
65,3/7/17,29683,63654,209587,181,29
66,3/8/17,43470,101573,209656,694,55
67,3/9/17,45251,99450,209728,764,34
68,3/10/17,18412,41971,209758,95,15
69,3/11/17,15185,48379,209781,183,27
70,3/12/17,13442,38114,209799,167,9
71,3/13/17,27417,58768,209827,205,14
72,3/14/17,0,0,209843,0,0
73,3/15/17,0,0,209859,0,0
74,3/16/17,0,0,209870,0,0
75,3/17/17,7098,25393,209888,151,15
76,3/18/17,4106,17446,209910,93,6
77,3/19/17,10550,33344,209943,339,21
78,3/20/17,27378,60363,210002,288,21
79,3/21/17,36824,78104,210073,479,47
80,3/22/17,26927,55713,210121,140,15
81,3/23/17,29885,74345,210160,291,25
82,3/24/17,34019,82681,210199,485,39
83,3/25/17,29647,86293,210267,1721,60
84,3/26/17,19893,55139,210318,546,30
85,3/27/17,26301,59614,210388,318,40
86,3/28/17,21590,46003,210448,91,20
87,3/29/17,42430,91525,210559,830,97
88,3/30/17,39746,91041,210623,669,61
89,3/31/17,6946,23462,210670,20,5
0,4/1/17,23849,67299,210739,767,43
1,4/2/17,39779,130087,210915,3639,58
2,4/3/17,43484,104217,211075,970,68
3,4/4/17,29990,63091,211171,183,23
4,4/5/17,47635,108281,211310,1192,59
5,4/6/17,18020,44411,211362,67,12
6,4/7/17,35779,81358,211440,456,43
7,4/8/17,35936,108886,211589,2719,83
8,4/9/17,43895,137240,211806,4390,114
9,4/10/17,50422,124356,212050,2164,139
10,4/11/17,57309,150222,212298,2699,135
11,4/12/17,51188,113959,212484,1493,108
12,4/13/17,52915,131228,212648,2388,129
13,4/14/17,52230,149382,212812,3451,273
14,4/15/17,42531,134526,212950,3981,235
15,4/16/17,48137,157912,213172,6143,361
16,4/17/17,53247,127619,213385,2019,234
17,4/18/17,53809,126129,213580,1624,194
18,4/19/17,45788,97587,213703,738,55
19,4/20/17,44260,108427,213819,1065,172
20,4/21/17,39868,92348,213913,1194,129
21,4/22/17,34596,101444,214028,5173,102
22,4/23/17,49106,142563,214278,4541,420
23,4/24/17,48692,103241,214462,1143,123
24,4/25/17,20332,47829,214552,201,36
25,4/26/17,37727,81859,214654,595,109
26,4/27/17,52035,122394,214793,1412,266
27,4/28/17,62199,163665,214965,2963,458
28,4/29/17,57701,180290,215219,5699,562
29,4/30/17,42928,125305,215455,2921,340
30,5/1/17,56218,136675,215724,1813,311
31,5/2/17,61205,142585,216017,1827,309
32,5/3/17,59251,141936,216239,1537,247
33,5/4/17,57428,144583,216436,1626,239
34,5/5/17,24009,58278,216535,355,52
35,5/6/17,46616,127879,216768,3349,363
36,5/7/17,34293,90625,216928,1921,196
37,5/8/17,51553,114260,217147,1230,253
38,5/9/17,56461,118257,217341,1179,199
39,5/10/17,58452,136080,217512,1362,225
40,5/11/17,57208,135699,217673,1313,205
41,5/12/17,56671,132477,217840,1784,189
42,5/13/17,5704,28193,217905,117,0
43,5/14/17,38729,114819,218120,2664,222
44,5/15/17,54715,129870,218356,1279,185
45,5/16/17,64504,157411,218690,1850,283
46,5/17/17,65791,153500,219023,1864,241
47,5/18/17,63753,149837,219304,1929,270
48,5/19/17,62143,145832,219564,2310,275
49,5/20/17,47858,135405,219776,3486,251
50,5/21/17,54873,160019,220097,4903,287
51,5/22/17,24627,61049,220269,218,22
52,5/23/17,60024,139680,220513,1579,224
53,5/24/17,60621,135482,220735,1558,153
54,5/25/17,17494,50743,220840,143,27
55,5/26/17,53763,133402,221049,2224,306
56,5/27/17,46533,145924,221271,4590,511
57,5/28/17,46724,151063,221515,5229,374
58,5/29/17,26321,75825,221745,1149,77
59,5/30/17,50192,114629,222057,962,204
60,5/31/17,59494,142097,222764,1596,197
61,6/1/17,67404,163063,222977,1957,289
62,6/2/17,66905,157299,223162,2315,357
63,6/3/17,56263,155712,223356,4627,356
64,6/4/17,40138,100571,223520,2270,103
65,6/5/17,55882,123795,223719,1286,204
66,6/6/17,41268,86679,223834,523,89
67,6/7/17,64452,149853,223969,1536,258
68,6/8/17,62652,132716,224131,1631,266
69,6/9/17,66504,156787,224289,2513,313
70,6/10/17,57086,150903,224455,4764,296
71,6/11/17,51427,140711,224654,3941,179
72,6/12/17,57870,133564,224889,1561,201
73,6/13/17,60920,129444,225078,1407,179
74,6/14/17,60510,137988,225231,1573,218
75,6/15/17,64761,144513,225430,1885,227
76,6/16/17,56401,128201,225556,1507,177
77,6/17/17,34899,83755,225683,2243,209
78,6/18/17,49469,138414,225864,3730,295
79,6/19/17,38308,88057,226025,878,158
80,6/20/17,64670,146794,226220,1781,215
81,6/21/17,67215,154525,226394,1666,258
82,6/22/17,66304,158453,226589,1818,260
83,6/23/17,55321,129797,226695,1585,205
84,6/24/17,52150,141282,226849,4277,314
85,6/25/17,54645,158625,227015,4527,256
86,6/26/17,62661,145321,227211,2024,297
87,6/27/17,64762,151112,227418,1697,229
88,6/28/17,67740,159263,227679,1893,208
89,6/29/17,64260,146419,227855,1703,210
90,6/30/17,58660,132583,228047,2024,293
0,7/1/17,36737,107126,228157,2828,372
1,7/2/17,43035,128397,228306,4314,458
2,7/3/17,48193,130240,228473,3243,316
3,7/4/17,49924,146441,228669,4929,315
4,7/5/17,60321,149487,228908,1886,267
5,7/6/17,62147,140767,229085,1646,264
6,7/7/17,44068,103656,229241,1283,216
7,7/8/17,55015,146438,229453,4138,333
8,7/9/17,57118,159914,229680,4471,340
9,7/10/17,60908,141463,229933,1546,359
10,7/11/17,61670,141463,230159,1269,227
11,7/12/17,61786,132874,230336,1376,179
12,7/13/17,56475,126527,230514,1322,180
13,7/14/17,31851,70477,230610,570,101
14,7/15/17,56499,148067,230772,4761,378
15,7/16/17,56833,153666,230981,4497,308
16,7/17/17,62555,141323,231225,1675,289
17,7/18/17,66234,144623,231416,1724,243
18,7/19/17,63916,143277,231603,1617,267
19,7/20/17,59665,131871,231741,1439,229
20,7/21/17,60074,136330,231882,1929,304
21,7/22/17,48013,124272,232049,3634,332
22,7/23/17,46945,117035,232212,3164,249
23,7/24/17,43793,104460,232359,989,113
24,7/25/17,65339,148542,232521,1549,285
25,7/26/17,70329,168603,232674,2054,248
26,7/27/17,65773,144443,232820,1666,214
27,7/28/17,63911,151514,232984,2293,297
28,7/29/17,52955,132509,233138,4085,324
29,7/30/17,59364,165423,233360,5214,376
30,7/31/17,64231,153123,233614,1862,263
31,8/1/17,66676,147654,233824,1813,272
32,8/2/17,56179,122622,233958,3291,139
33,8/3/17,66144,146858,234160,1849,257
34,8/4/17,56391,128749,234312,2212,325
35,8/5/17,58966,169511,234524,5299,415
36,8/6/17,56473,161492,234715,4686,292
37,8/7/17,23395,55927,234851,249,34
38,8/8/17,65228,145901,235084,1738,331
39,8/9/17,67874,170524,235283,1952,300
40,8/10/17,66245,151415,235457,1834,262
41,8/11/17,63134,147098,235623,2360,358
42,8/12/17,60531,173581,235890,5409,405
43,8/13/17,57511,162040,236098,4755,337
44,8/14/17,61460,139535,236328,1816,294
45,8/15/17,52460,105695,236504,948,125
46,8/16/17,68434,159032,236681,1905,251
47,8/17/17,66654,156810,236872,2087,261
48,8/18/17,36619,90704,236984,840,124
49,8/19/17,62440,186037,237324,5992,461
50,8/20/17,55438,147379,237518,4218,313
51,8/21/17,61055,138059,237710,1832,277
52,8/22/17,60541,133409,237878,1477,260
53,8/23/17,65069,141360,238057,1712,219
54,8/24/17,66306,151449,238257,1820,315
55,8/25/17,64217,156344,238406,2316,325
56,8/26/17,50111,132832,238546,3621,214
57,8/27/17,54594,145524,238771,4135,278
58,8/28/17,60885,133126,239016,1616,272
59,8/29/17,35151,67448,239163,424,104
60,8/30/17,65328,147325,239347,1760,309
61,8/31/17,64881,144852,239519,1727,260
62,9/1/17,54881,129382,239653,1775,294
63,9/2/17,37810,107949,239785,3359,420
64,9/3/17,30955,83988,239906,2394,175
65,9/4/17,55284,164623,240126,5298,362
66,9/5/17,65443,140362,240378,1607,265
67,9/6/17,42318,86395,240541,445,90
68,9/7/17,69571,148669,240750,1542,356
69,9/8/17,69616,154397,240903,1976,322
70,9/9/17,60187,150847,241108,4196,272
71,9/10/17,60750,154588,241329,4056,301
72,9/11/17,71964,166177,241563,1992,276
73,9/12/17,74623,161263,241775,1737,238
74,9/13/17,69616,146802,241991,1471,199
75,9/14/17,72128,150535,242211,1551,244
76,9/15/17,72361,160138,242393,2088,323
77,9/16/17,61077,156839,242552,4304,297
78,9/17/17,60003,156834,242748,3869,229
79,9/18/17,64207,138078,242968,1387,190
